
10:18:25 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
10:18:56 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:53:42 am Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 404, Functionality : syncUpdateItem
12:02:58 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:03:17 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:04:09 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:04:43 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:05:00 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 404, Functionality : syncUpdateItem
12:06:07 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:08:10 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:10:40 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:11:36 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:19:58 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:31:35 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:38:39 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 404, Functionality : syncUpdateItem
12:38:55 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:42:58 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 404, Functionality : syncUpdateItem
12:44:51 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
12:56:58 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 404, Functionality : syncUpdateItem
12:57:24 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 404, Functionality : syncUpdateItem
1:11:08 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:19:19 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:23:01 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
2:32:10 pm Platform : API, Module : Item Group, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncItemGroup
2:34:30 pm Platform : API, Module : Item Group, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncItemGroup
2:37:16 pm Platform : API, Module : Item Group, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncItemGroup
2:39:20 pm Platform : API, Module : Item Group, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncItemGroup
