
3:29:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:29:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:29:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:29:52 pm Platform : API, Module : Partner Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getPartnerList
3:30:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:30:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:30:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:31:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:31:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:31:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:32:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:32:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:32:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:33:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:33:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:33:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:34:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:34:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:34:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:35:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:35:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:35:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:36:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:36:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:36:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:36:55 pm Platform : API, Module : Partner Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getPartnerDetails
3:36:55 pm Platform : API, Module : Partner Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getPartnerList
3:37:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:37:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:37:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:38:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:38:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:38:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:39:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:39:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:39:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:40:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:40:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:40:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:41:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:41:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:41:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:42:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:42:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:42:28 pm Platform : API, Module : Partner Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getPartnerDetails
3:42:28 pm Platform : API, Module : Partner Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getPartnerList
3:42:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
