
10:37:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:37:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:38:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:38:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:39:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:39:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:40:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:40:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:41:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:41:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:42:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:42:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:43:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:43:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:44:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:44:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:45:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:45:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:46:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:46:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:47:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:47:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:48:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:48:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:49:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:49:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:50:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:50:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:51:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:51:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:52:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:52:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:53:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:53:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:54:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:54:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:55:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:55:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:56:03 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:56:04 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:57:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:57:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:58:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:58:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
10:59:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
10:59:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:00:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:00:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:01:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:01:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:02:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:02:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:03:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:03:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:04:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:04:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:05:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:05:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:06:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
