
9:52:38 am Platform : API, Module : refersh token, Error : TokenExpiredError: jwt expired, Functionality : refreshtoken
1:06:28 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:06:36 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:08:41 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:17:25 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:18:16 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:19:11 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:19:51 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:21:13 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:22:20 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:23:37 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:24:26 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:24:59 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:26:26 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:28:58 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 417, Functionality : syncUpdateItem
1:30:53 pm Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
1:36:34 pm Platform : API, Module : Item, Error : TypeError: Invalid URL, Functionality : syncDeleteItemGroup
1:37:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:37:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:37:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:38:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:38:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:38:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:39:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:39:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:39:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:41:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:41:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:41:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:42:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:42:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:42:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:42:50 pm Platform : API, Module : Item Group, Error : TypeError: Invalid URL, Functionality : syncItemGroup
1:43:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:43:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:43:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:43:38 pm Platform : API, Module : Item Group, Error : TypeError: Invalid URL, Functionality : syncItemGroup
1:44:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:44:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:44:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:44:12 pm Platform : API, Module : Item Group, Error : TypeError: Invalid URL, Functionality : syncItemGroup
1:45:15 pm Platform : API, Module : Item Group, Error : TypeError: Invalid URL, Functionality : syncItemGroup
1:46:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:46:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:46:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:46:02 pm Platform : API, Module : Item Group, Error : TypeError: Invalid URL, Functionality : syncItemGroup
1:47:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:47:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:47:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:48:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:48:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:48:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:49:00 pm Platform : API, Module : Receipt, Error : TypeError: Invalid URL, Functionality : syncReceipt
1:49:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
1:49:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
1:52:48 pm Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 401, Functionality : syncItemGroup
1:53:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:53:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:54:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:54:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:54:12 pm Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 401, Functionality : syncCreateAccount
1:54:25 pm Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 401, Functionality : syncCreateAccount
1:54:29 pm Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 401, Functionality : syncCreateAccount
1:55:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:55:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:55:28 pm Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 401, Functionality : syncCreateAccount
1:56:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:56:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:56:02 pm Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 401, Functionality : syncUpdateItemGroup
1:56:09 pm Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 401, Functionality : syncUpdateItemGroup
1:56:39 pm Platform : API, Module : Item, Error : AxiosError: Request failed with status code 401, Functionality : syncDeleteItemGroup
1:56:54 pm Platform : API, Module : Item, Error : AxiosError: Request failed with status code 401, Functionality : syncDeleteItemGroup
1:57:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:57:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:57:33 pm Platform : API, Module : UpdateItem, Error : AxiosError: Request failed with status code 401, Functionality : syncUpdateItem
1:57:46 pm Platform : API, Module : Item, Error : AxiosError: Request failed with status code 401, Functionality : syncItem
1:58:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:58:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:58:22 pm Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 401, Functionality : syncSupplier
1:59:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
1:59:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
1:59:49 pm Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 401, Functionality : syncUpdateCustomer
2:00:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
2:00:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
2:00:05 pm Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 401, Functionality : syncUpdateCustomer
2:00:24 pm Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 401, Functionality : syncUpdateCustomer
2:01:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
2:01:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
