
9:57:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
9:57:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
9:57:01 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
9:58:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
9:58:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
9:58:01 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
9:59:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
9:59:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
9:59:01 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
9:59:06 am Platform : API, Module : Request, Error : TypeError: Failed to parse URL from undefined?token=undefined&credit=2&sender=undefined&templateid=undefined&number=9003861285&message=Your%20OTP%20for%20login%20is%20605346%20This%20code%20is%20valid%20for%205%20minutes.%20Do%20not%20share%20it%20with%20anyone.%20-%20Swapify%20Now, Functionality : setVendorVerificationCode
9:59:25 am Platform : API, Module : Request, Error : TypeError: Failed to parse URL from undefined?token=undefined&credit=2&sender=undefined&templateid=undefined&number=9003861285&message=Your%20OTP%20for%20login%20is%20953804%20This%20code%20is%20valid%20for%205%20minutes.%20Do%20not%20share%20it%20with%20anyone.%20-%20Swapify%20Now, Functionality : setVendorVerificationCode
10:01:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
